UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
12.153906,2.1707153,3717,0.0,0,1,1,1,0,2,2,0,1
16.030563,11.898396,2771,1.2191999999999998,0,2,2,2,2,6,6,6,6
0.75497645,11.979957,6474,0.0,1,0,0,0,5,5,5,5,5
7.463753,2.5388007,6138,0.65532,0,1,1,1,0,2,2,0,1
-7.4480963,6.7792583,5422,0.252984,1,0,3,3,3,3,7,7,7
4.937071,14.304998,7322,0.67056,1,0,0,0,1,0,1,1,0
15.561808,9.697135,2758,1.31064,0,2,2,2,2,6,6,6,6
12.5855255,23.896181,7451,0.86868,1,0,0,4,4,4,4,4,9
12.221056,24.012398,7518,0.704088,1,0,0,4,4,4,4,4,9
16.471947,8.409316,2784,1.594104,0,2,2,2,2,6,6,6,6
11.64299,-2.200642,14932,1.627632,0,1,1,1,0,1,0,2,2
3.4214976,11.797415,5487,0.70104,1,0,0,0,5,5,5,5,5
15.495378,9.8041315,2829,1.46304,0,2,2,2,2,6,6,6,6
4.925574,14.314121,7314,0.460248,1,0,0,0,1,0,1,1,0
12.235325,3.6345024,4868,1.3208,0,1,1,1,0,2,2,0,4
-7.592239,6.7347054,5368,1.66116,1,0,3,3,3,3,7,7,7
10.381348,17.453604,7438,0.85344,1,0,0,0,1,0,3,3,3
10.149553,10.771877,6187,0.73152,1,0,0,0,1,0,1,1,0
15.578125,9.67079,2760,1.3716,0,2,2,2,2,6,6,6,6
15.371976,23.098316,7735,1.633728,1,0,0,4,4,4,4,4,9
16.028719,11.902061,2770,1.88976,0,2,2,2,2,6,6,6,6
7.3702407,1.8725468,3996,0.341376,0,1,1,1,0,2,2,0,1
10.8794775,1.9113688,4977,0.35052,0,1,1,1,0,2,2,0,1
16.309803,10.537325,2749,0.826008,0,2,2,2,2,6,6,6,6
8.873877,16.094023,7312,0.368808,1,0,0,0,1,0,3,3,3
6.107693,-4.7955594,6307,0.03048,0,1,1,1,0,1,0,8,8
0.81298685,12.085106,6511,0.0,1,0,0,0,5,5,5,5,5
2.3160083,-3.2855966,2851,2.10312,0,1,1,1,0,1,0,8,8
16.656324,9.610207,2542,1.08204,0,2,2,2,2,6,6,6,6
12.765415,-2.7517831,14062,0.643128,0,1,1,1,0,1,0,2,2
1.7359046,12.706998,6097,1.155192,1,0,0,0,5,5,5,5,5
11.969343,2.2528708,3719,0.94488,0,1,1,1,0,2,2,0,1
