ID,S1_Date,peak_date,precipitation
2815,2016-10-10,10/12/2016 4:00:00 PM,0.0
2816,2016-10-10,10/12/2016 4:00:00 PM,0.0
2817,2016-10-10,10/12/2016 4:00:00 PM,0.0
2818,2016-10-10,10/12/2016 4:00:00 PM,0.0
2819,2016-10-10,10/12/2016 4:00:00 PM,0.0
2820,2016-10-10,10/12/2016 4:00:00 PM,0.0
2821,2016-10-10,10/12/2016 4:00:00 PM,0.0
2822,2016-10-10,10/12/2016 4:00:00 PM,0.0
2823,2016-10-10,10/12/2016 4:00:00 PM,0.0
2824,2016-10-10,10/12/2016 4:00:00 PM,0.0
2829,2016-10-04,10/10/2016 4:00:00 PM,0.0
2839,2016-10-10,10/12/2016 4:00:00 PM,0.0
2840,2016-10-10,10/12/2016 4:00:00 PM,0.0
2841,2016-10-10,10/12/2016 4:00:00 PM,0.0
2842,2016-10-10,10/12/2016 4:00:00 PM,0.0
2843,2016-10-10,10/12/2016 4:00:00 PM,0.0
2844,2016-10-10,10/12/2016 4:00:00 PM,0.0
2845,2016-10-10,10/12/2016 4:00:00 PM,0.0
2846,2016-10-10,10/12/2016 4:00:00 PM,0.0
2847,2016-10-10,10/12/2016 4:00:00 PM,0.0
2848,2016-10-10,10/12/2016 4:00:00 PM,0.0
2849,2016-10-10,10/12/2016 4:00:00 PM,0.0
2850,2016-10-10,10/12/2016 4:00:00 PM,0.0
2851,2016-10-04,10/10/2016 4:00:00 PM,0.0
2852,2016-10-04,10/10/2016 4:00:00 PM,0.0
2853,2016-10-04,10/10/2016 4:00:00 PM,0.0
2863,2016-10-04,10/10/2016 4:00:00 PM,0.0
2864,2016-10-04,10/10/2016 4:00:00 PM,0.0
2865,2016-10-10,10/12/2016 4:00:00 PM,0.0
2866,2016-10-10,10/12/2016 4:00:00 PM,0.0
2867,2016-10-10,10/12/2016 4:00:00 PM,0.0
2868,2016-10-10,10/12/2016 4:00:00 PM,0.0
2869,2016-10-10,10/12/2016 4:00:00 PM,0.0
2872,2016-10-10,10/12/2016 4:00:00 PM,0.0
3193,2017-08-24,8/29/2017 5:00:00 PM,11.769054412841797
